team_id,stadium_name,lat,lon,note
arsenal,Emirates Stadium,51.5549,-0.1084,current
aston_villa,Villa Park,52.5092,-1.8849,current
birmingham,St Andrew's,52.4756,-1.8682,since 2010
blackburn,Ewood Park,53.7286,-2.4892,since 2010
blackpool,Bloomfield Road,53.8046,-3.0480,since 2010
bolton,University of Bolton Stadium,53.5805,-2.5357,since 2010; formerly Reebok
bournemouth,Vitality Stadium,50.7352,-1.8383,current; formerly Dean Court
brentford,Gtech Community Stadium,51.4907,-0.2887,current; moved 2020 from Griffin Park
brighton,American Express Stadium,50.8616,-0.0833,current; formerly Falmer
burnley,Turf Moor,53.7890,-2.2302,current
cardiff,Cardiff City Stadium,51.4728,-3.2031,since 2010
chelsea,Stamford Bridge,51.4817,-0.1910,current
coventry,Coventry Building Society Arena,52.4481,-1.4956,2026-27 promoted
crystal_palace,Selhurst Park,51.3983,-0.0855,current
everton,Hill Dickinson Stadium,53.4388,-2.9672,current; moved 2025 from Goodison
fulham,Craven Cottage,51.4749,-0.2216,current
huddersfield,John Smith's Stadium,53.6543,-1.7684,since 2010
hull,MKM Stadium,53.7465,-0.3677,current; formerly KC Stadium
ipswich,Portman Road,52.0551,1.1450,current
leeds,Elland Road,53.7775,-1.5721,current
leicester,King Power Stadium,52.6203,-1.1422,current
liverpool,Anfield,53.4308,-2.9609,current
luton,Kenilworth Road,51.8842,-0.4316,since 2010
man_city,Etihad Stadium,53.4831,-2.2004,current
man_united,Old Trafford,53.4631,-2.2913,current
middlesbrough,Riverside Stadium,54.5781,-1.2170,since 2010
newcastle,St James' Park,54.9756,-1.6217,current
norwich,Carrow Road,52.6221,1.3091,since 2010
nottingham_forest,City Ground,52.9400,-1.1328,current
qpr,Loftus Road,51.5093,-0.2322,since 2010
reading,Select Car Leasing Stadium,51.4222,-0.9827,since 2010; formerly Madejski
sheffield_united,Bramall Lane,53.3703,-1.4708,current
southampton,St Mary's Stadium,50.9058,-1.3911,current
stoke,bet365 Stadium,52.9884,-2.1754,since 2010; formerly Britannia
sunderland,Stadium of Light,54.9144,-1.3884,current
swansea,Swansea.com Stadium,51.6428,-3.9347,since 2010; formerly Liberty
tottenham,Tottenham Hotspur Stadium,51.6043,-0.0664,current; moved 2019 from White Hart Lane
watford,Vicarage Road,51.6498,-0.4015,since 2010
west_brom,The Hawthorns,52.5091,-1.9642,since 2010
west_ham,London Stadium,51.5387,-0.0166,current; moved 2016 from Upton Park
wigan,DW Stadium,53.5477,-2.6542,since 2010
wolves,Molineux Stadium,52.5902,-2.1304,current
